StudyID,Study,Design,FirstRater
1,Adam et al. (2022),RCT,RahelWarnatsch
2,Brito et al. (2022),RCT,AtsushiKanayama
3,Chabé-Ferret and Farrer (2018),RCT,AtsushiKanayama
4,Leyland et al. (2018),RCT,AtsushiKanayama
5,Mulvey et al. (2018),RCT,AtsushiKanayama
6,Nejati and Zavarei (2023),RCT,AtsushiKanayama
7,Prager (2016),RCT,AtsushiKanayama
8,Preston (2020),RCT,AtsushiKanayama
9,Romero-López et al. (2020),RCT,AtsushiKanayama
10,Schmitt et al. (2018),RCT,AtsushiKanayama
11,Schubert (2016),RCT,AtsushiKanayama
12,Sinha (2012),RCT,AtsushiKanayama
13,Tominey (2010),RCT,AtsushiKanayama
14,Wood et al. (2018),RCT,AtsushiKanayama
15,Yıldırım (2019),RCT,AtsushiKanayama
16,Zelazo et al. (2018),RCT,AtsushiKanayama
17,Balko (2019),ClusterRCT,AtsushiKanayama
18,Bentley et al. (2023),ClusterRCT,AtsushiKanayama
19,Brock et al. (2018),ClusterRCT,AtsushiKanayama
20,Clements et al. (2012),ClusterRCT,MoekoIshikawa
21,Duncan et al. (2018),ClusterRCT,AtsushiKanayama
22,Giordano and Alesi (2022),ClusterRCT,AtsushiKanayama
23,Grüneisen et al. (2023),ClusterRCT,AtsushiKanayama
24,Imai-Matsumura and Schultz (2022),ClusterRCT,AtsushiKanayama
25,Jacob et al. (2020),ClusterRCT,AtsushiKanayama
26,Keown et al. (2020),ClusterRCT,AtsushiKanayama
27,Lertladaluck et al. (2021),ClusterRCT,AtsushiKanayama
28,Longo (2017),ClusterRCT,AtsushiKanayama
29,McClelland et al. (2019),ClusterRCT,AtsushiKanayama
30,Miller et al. (2023),ClusterRCT,AtsushiKanayama
31,Moore and Hanson-Abromeit (2023),ClusterRCT,AtsushiKanayama
32,Poehlmann-Tynan et al. (2016),ClusterRCT,AtsushiKanayama
33,Rashedi et al. (2021),ClusterRCT,AtsushiKanayama
34,Sarfaty and Ben-Eliyahu (2023),ClusterRCT,AtsushiKanayama
35,Sassi (2018),ClusterRCT,AtsushiKanayama
36,Schmitt (2013),ClusterRCT,AtsushiKanayama
37,Shiu et al. (2018),ClusterRCT,AtsushiKanayama
38,Ureña et al. (2020),ClusterRCT,AtsushiKanayama
39,Veiga et al. (2023),ClusterRCT,AtsushiKanayama
40,Viglas (2015),ClusterRCT,AtsushiKanayama
41,Williams et al. (2023),ClusterRCT,AtsushiKanayama
42,Yamamoto and Imai-Matsumura (2023),ClusterRCT,AtsushiKanayama
43,Altan and Temei (2023),NRSI,AtsushiKanayama
44,Arslan Çiftçi et al. (2023),NRSI,RahelWarnatsch
45,Beattie (2014) ,NRSI,AtsushiKanayama
46,Chien (2020),NRSI,AtsushiKanayama
47,Coelho et al. (2020),NRSI,AtsushiKanayama
48,Dörr and Perels (2019),NRSI,AtsushiKanayama
49,Dörr and Perels (2020),NRSI,AtsushiKanayama
50,Duman and Ozkur (2019),NRSI,AtsushiKanayama
51,Gibb et al. (2021),NRSI,AtsushiKanayama
52,Hautakangas et al. (2022),NRSI,AtsushiKanayama
53,Kellens et al. (2023),NRSI,AtsushiKanayama
54,Murray (2002),NRSI,AtsushiKanayama
55,Razza et al. (2015),NRSI,AtsushiKanayama
56,Schmitt et al. (2020),NRSI,AtsushiKanayama
57,Sezgin and Demiri (2019),NRSI,AtsushiKanayama
58,Siew and Nor (2019),NRSI,AtsushiKanayama
59,Thierry et al. (2016),NRSI,AtsushiKanayama
60,Whitebread (2020),NRSI,AtsushiKanayama
61,Williams and Berthelsen (2019),NRSI,AtsushiKanayama
62,Yeterge et al. (2019),NRSI,AtsushiKanayama
